investor_id,avg_gap_days,at_risk_flag,total_sips
INV000004,85.4,Yes,6
INV000008,70.4,Yes,6
INV000010,64.8,Yes,6
INV000011,40.2,Yes,7
INV000012,57.0,Yes,8
INV000013,55.3,Yes,7
INV000014,75.3,Yes,7
INV000023,58.6,Yes,8
INV000028,93.6,Yes,6
INV000029,60.7,Yes,7
INV000030,47.6,Yes,9
INV000033,45.6,Yes,8
INV000039,68.6,Yes,6
INV000045,70.6,Yes,6
INV000048,46.0,Yes,9
INV000052,36.2,Yes,6
INV000056,74.8,Yes,6
INV000057,49.7,Yes,8
INV000069,49.1,Yes,10
INV000072,83.0,Yes,6
INV000073,48.2,Yes,9
INV000074,72.6,Yes,8
INV000075,74.8,Yes,6
INV000076,91.8,Yes,6
INV000079,65.8,Yes,6
INV000081,81.3,Yes,7
INV000082,83.7,Yes,7
INV000086,44.7,Yes,10
INV000087,92.8,Yes,6
INV000091,44.0,Yes,8
INV000093,55.5,Yes,7
INV000094,44.8,Yes,6
INV000095,69.4,Yes,6
INV000097,54.5,Yes,7
INV000101,65.0,Yes,8
INV000102,65.3,Yes,8
INV000103,83.4,Yes,6
INV000105,57.0,Yes,8
INV000109,46.2,Yes,9
INV000113,46.0,Yes,8
INV000123,59.7,Yes,7
INV000128,82.0,Yes,6
INV000131,56.0,Yes,7
INV000132,71.0,Yes,6
INV000133,88.2,Yes,6
INV000138,76.2,Yes,6
INV000145,89.4,Yes,6
INV000146,66.8,Yes,6
INV000148,52.0,Yes,9
INV000155,37.3,Yes,7
INV000161,73.0,Yes,7
INV000163,61.0,Yes,8
INV000164,61.8,Yes,6
INV000169,67.8,Yes,7
INV000173,57.7,Yes,7
INV000175,83.7,Yes,7
INV000177,65.4,Yes,8
INV000180,61.8,Yes,6
INV000183,56.1,Yes,9
INV000191,56.5,Yes,7
INV000194,58.0,Yes,7
INV000195,77.4,Yes,6
INV000196,69.0,Yes,7
INV000201,51.1,Yes,9
INV000205,62.6,Yes,8
INV000210,70.7,Yes,8
INV000214,94.8,Yes,6
INV000217,92.0,Yes,6
INV000228,59.8,Yes,9
INV000236,67.1,Yes,8
INV000238,93.6,Yes,6
INV000239,48.9,Yes,8
INV000243,88.2,Yes,6
INV000245,92.2,Yes,6
INV000249,45.5,Yes,7
INV000252,50.4,Yes,6
INV000255,48.6,Yes,6
INV000256,70.2,Yes,6
INV000259,70.6,Yes,6
INV000260,59.6,Yes,8
INV000262,53.6,Yes,8
INV000263,68.4,Yes,8
INV000265,53.4,Yes,10
INV000268,62.3,Yes,7
INV000279,43.4,Yes,9
INV000280,55.8,Yes,9
INV000283,68.0,Yes,6
INV000287,69.8,Yes,7
INV000289,62.7,Yes,8
INV000291,89.0,Yes,6
INV000292,46.0,Yes,7
INV000293,47.0,Yes,7
INV000297,90.6,Yes,6
INV000299,85.2,Yes,6
INV000304,70.0,Yes,7
INV000309,52.0,Yes,8
INV000310,75.8,Yes,7
INV000318,97.4,Yes,6
INV000319,73.5,Yes,7
INV000321,72.8,Yes,7
INV000328,37.5,Yes,9
INV000331,50.7,Yes,8
INV000334,25.5,No,7
INV000335,96.0,Yes,6
INV000339,94.0,Yes,6
INV000341,54.4,Yes,8
INV000356,54.4,Yes,6
INV000359,54.1,Yes,9
INV000363,77.0,Yes,7
INV000369,43.8,Yes,6
INV000371,59.3,Yes,8
INV000372,54.5,Yes,7
INV000380,97.0,Yes,6
INV000388,53.6,Yes,9
INV000392,77.2,Yes,7
INV000395,55.7,Yes,7
INV000396,83.2,Yes,6
INV000399,49.6,Yes,10
INV000400,62.6,Yes,6
INV000403,58.2,Yes,6
INV000407,82.4,Yes,6
INV000408,46.8,Yes,6
INV000412,43.7,Yes,8
INV000414,66.3,Yes,8
INV000415,66.2,Yes,7
INV000418,86.8,Yes,6
INV000427,68.5,Yes,7
INV000428,52.1,Yes,8
INV000429,77.2,Yes,6
INV000437,97.8,Yes,6
INV000440,69.6,Yes,8
INV000441,60.8,Yes,6
INV000444,73.2,Yes,6
INV000445,57.8,Yes,9
INV000446,38.6,Yes,6
INV000449,46.8,Yes,6
INV000452,49.4,Yes,9
INV000457,91.4,Yes,6
INV000460,43.4,Yes,6
INV000463,65.2,Yes,7
INV000466,73.3,Yes,7
INV000467,56.7,Yes,10
INV000469,70.5,Yes,7
INV000483,70.4,Yes,8
INV000491,95.0,Yes,6
INV000493,47.6,Yes,10
INV000497,71.8,Yes,7
INV000499,77.8,Yes,7
INV000507,70.2,Yes,7
INV000512,54.8,Yes,9
INV000522,100.8,Yes,6
INV000524,55.0,Yes,7
INV000527,50.8,Yes,6
INV000529,59.2,Yes,6
INV000531,47.0,Yes,7
INV000539,77.0,Yes,7
INV000540,73.5,Yes,7
INV000543,83.7,Yes,7
INV000545,80.6,Yes,6
INV000546,55.0,Yes,9
INV000547,55.8,Yes,6
INV000549,96.2,Yes,6
INV000553,72.0,Yes,6
INV000554,70.2,Yes,6
INV000556,52.4,Yes,8
INV000562,74.4,Yes,6
INV000563,76.3,Yes,7
INV000566,35.0,No,7
INV000567,63.8,Yes,6
INV000568,62.4,Yes,6
INV000570,67.3,Yes,8
INV000573,50.8,Yes,7
INV000575,71.6,Yes,6
INV000578,66.8,Yes,7
INV000581,78.3,Yes,7
INV000586,44.5,Yes,7
INV000589,59.1,Yes,9
INV000591,64.5,Yes,7
INV000593,74.2,Yes,6
INV000596,51.8,Yes,9
INV000597,88.6,Yes,6
INV000599,81.5,Yes,7
INV000607,66.7,Yes,7
